canonical_keyword,cluster_key,cluster_label,topical_silo,primary_entity,entity_type,parent_entity,intent,intent_detail,geo_modifier,keyword_count,total_volume,current_ranking_coverage_pct,average_current_position,recommended_page_type,recommended_action,suggested_url
mcdonald's ranch sauce calories,sauce-creamy-ranch-sauce__nutrition_ingredients,Creamy Ranch Sauce - nutrition ingredients,Sauces & Condiments,Creamy Ranch Sauce,product_variant,Sauces & Condiments,nutrition,nutrition_ingredients,,3,240,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/sauces-condiments/creamy-ranch-sauce/
calories in ketchup packet,sauce-ketchup-packet__nutrition_macros,Ketchup Packet - nutrition macros,Sauces & Condiments,Ketchup Packet,product_variant,Sauces & Condiments,nutrition,nutrition_macros,,2,240,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/sauces-condiments/ketchup-packet/
hamburger happy meal,happy-hamburger-happy-meal__overview_menu,Hamburger Happy Meal - overview menu,Happy Meal,Hamburger Happy Meal,product_variant,Happy Meal,overview,overview_menu,,2,230,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/happy-meal/hamburger-happy-meal/
20 piece chicken mcnuggets meal,nuggets-20-pc-chicken-mcnuggets__overview_menu,20 pc Chicken McNuggets - overview menu,McNuggets & Strips,20 pc Chicken McNuggets,product_variant,Chicken McNuggets,overview,overview_menu,,3,230,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/mcnuggets-strips/20-pc-chicken-mcnuggets/
mcdonalds slushie price,bev-frozen-fanta-blue-raspberry__price_value,Frozen Fanta Blue Raspberry - price value,Beverages,Frozen Fanta Blue Raspberry,product_family,Beverages & Drinks,commercial,price_value,,7,230,0.0,,family_section,Expand the parent category guide with a dedicated family section or create a focused family guide.,https://mcdomenuusa.com/beverage-menu/
what is in mcdonalds iced coffee,coffee-mccafe-iced-coffee-small__nutrition_ingredients,McCafe Iced Coffee Small - nutrition ingredients,McCafe Coffees,McCafe Iced Coffee Small,product_variant,McCafe Iced Coffee,nutrition,nutrition_ingredients,,4,230,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/mccafe-coffees/mccafe-iced-coffee-small/
mcdonald's caramel frappe ingredients,coffee-mccafe-caramel-frappe-small__nutrition_ingredients,McCafe Caramel Frappe Small - nutrition ingredients,McCafe Coffees,McCafe Caramel Frappe Small,product_variant,McCafe Caramel Frappe,nutrition,nutrition_ingredients,,4,220,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/mccafe-coffees/mccafe-caramel-frappe-small/
how much is a daily double at mcdonald's,burgers-daily-double__price_value,Daily Double - price value,Burgers,Daily Double,product_variant,Burgers Menu,commercial,price_value,,3,220,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/burgers-menu/daily-double/
mcdonalds smoothie menu,beverages-smoothie__overview_menu,Smoothie - overview menu,Beverages,Smoothie,product_family,Beverages & Drinks,overview,overview_menu,,4,220,0.0,,family_section,Expand the parent category guide with a dedicated family section or create a focused family guide.,https://mcdomenuusa.com/beverage-menu/
mcdonald's iced latte,coffee-mccafe-iced-latte__overview_general,McCafe Iced Latte - overview general,McCafe Coffees,McCafe Iced Latte,product_family,McCafe Coffees,overview,overview_general,,6,220,0.0,,family_section,Expand the parent category guide with a dedicated family section or create a focused family guide.,https://mcdomenuusa.com/mccafe-menu/
