topical_silo,primary_entity,entity_type,parent_entity,cluster_count,keyword_count,total_volume,dominant_page_type,suggested_url,intent_mix
Happy Meal,Happy Meal,menu_guide,,10,189,19620,guide,https://mcdomenuusa.com/happy-meal-menu/,geo_price | nutrition_ingredients | nutrition_macros | overview_menu | price_value
Sweets & Treats,Vanilla Cone,product_variant,Sweets & Treats,3,145,18970,item,https://mcdomenuusa.com/menu/sweets-treats/vanilla-cone/,nutrition_macros | overview_general | price_value
Breakfast,Sausage McMuffin,product_variant,Breakfast Menu,5,100,18080,item,https://mcdomenuusa.com/menu/breakfast-menu/sausage-mcmuffin/,nutrition_ingredients | nutrition_macros | overview_general | overview_menu | price_value
McCafe Coffees,McCafe Caramel Frappe Small,product_variant,McCafe Caramel Frappe,6,156,16540,item,https://mcdomenuusa.com/menu/mccafe-coffees/mccafe-caramel-frappe-small/,nutrition_caffeine | nutrition_ingredients | nutrition_macros | overview_general | overview_menu | price_value
McCafe Coffees,Frappe,product_family,McCafe Coffees,7,178,16290,family_section,https://mcdomenuusa.com/mccafe-menu/,nutrition_allergens | nutrition_caffeine | nutrition_ingredients | nutrition_macros | overview_general | overview_menu | price_value
McNuggets & Strips,6 pc Chicken McNuggets,product_variant,Chicken McNuggets,5,149,15560,item,https://mcdomenuusa.com/menu/mcnuggets-strips/6-pc-chicken-mcnuggets/,nutrition_allergens | nutrition_macros | overview_general | overview_menu | price_value
Breakfast,Big Breakfast,product_variant,Breakfast Menu,4,95,15440,item,https://mcdomenuusa.com/menu/breakfast-menu/big-breakfast/,nutrition_ingredients | nutrition_macros | overview_menu | price_value
Beverages,Beverages & Drinks,menu_guide,,5,181,14870,guide,https://mcdomenuusa.com/beverage-menu/,nutrition_caffeine | nutrition_macros | overview_general | overview_menu | price_value
McNuggets & Strips,10 pc Chicken McNuggets,product_variant,Chicken McNuggets,4,78,13790,item,https://mcdomenuusa.com/menu/mcnuggets-strips/10-pc-chicken-mcnuggets/,nutrition_macros | overview_general | overview_menu | price_value
Breakfast,Sausage Burrito,product_variant,Breakfast Menu,5,104,13620,item,https://mcdomenuusa.com/menu/breakfast-menu/sausage-burrito/,nutrition_ingredients | nutrition_macros | overview_general | overview_menu | price_value
McNuggets & Strips,20 pc Chicken McNuggets,product_variant,Chicken McNuggets,4,80,13500,item,https://mcdomenuusa.com/menu/mcnuggets-strips/20-pc-chicken-mcnuggets/,nutrition_macros | overview_general | overview_menu | price_value
Burgers,Cheeseburger,product_variant,Burgers Menu,5,136,13370,item,https://mcdomenuusa.com/menu/burgers-menu/cheeseburger/,geo_price | nutrition_ingredients | nutrition_macros | overview_general | price_value
McCafe Coffees,McCafe Iced Coffee Small,product_variant,McCafe Iced Coffee,7,147,13200,item,https://mcdomenuusa.com/menu/mccafe-coffees/mccafe-iced-coffee-small/,nutrition_allergens | nutrition_caffeine | nutrition_ingredients | nutrition_macros | overview_menu | price_value | timing_hours
Fries & Sides,Fries & Sides,menu_guide,,5,39,12690,guide,https://mcdomenuusa.com/fries-sides/,nutrition_allergens | nutrition_macros | overview_general | overview_menu | price_value
Sweets & Treats,Chocolate Chip Cookie,product_variant,Sweets & Treats,4,63,12540,item,https://mcdomenuusa.com/menu/sweets-treats/chocolate-chip-cookie/,nutrition_ingredients | nutrition_macros | overview_general | price_value
Sauces & Condiments,Sauces & Condiments,menu_guide,,3,23,12100,guide,https://mcdomenuusa.com/sauces-condiments/,nutrition_macros | overview_general | overview_menu
Burgers,Double Cheeseburger vs McDouble,comparison,Burgers Menu,1,12,11920,comparison,,comparison
